Nickname;Followers;Following
FCBarcelona;17330155;58
FCBarcelona_es;9606503;58
werevertumorro;7242965;1953
el_pais;5398506;696
FCBarcelona_cat;5267864;57
diarioas;2087323;925
Cosmopolitan_es;1699181;1258
perezreverte;1623715;778
MissJessWright_;1522793;2177
ScottGShore;1499335;5110
miguelhotero;1438532;840736
telecincoes;1305759;1309
Wereverwero;1279647;573
sport;1217450;221671
antena3com;1133451;541
EFEnoticias;1012011;48
rtve;966669;316
RAEinforma;921347;167
borsato;865195;358
loly_anto;832435;197
Srcheeto;822244;590
museodelprado;818510;1004
Lionel_Messi;782759;8
RAFAMORATETE;750558;3569
publico_es;708880;1263
SLBenfica;651148;87
noticias_cuatro;646032;625
SevillaFC;637876;216
LaVanguardia;624327;468
AthleticClub;620525;41
greenpeace_esp;618601;301059
YeniAlisan;549337;265
informativost5;543386;1234
megustaleer;526477;2738
PPopular;526164;3185
europa_fm;524175;1961
PipiEstrada1;520924;3979
MasterChef_es;503787;426
trafficMIRANDA;502007;128997
AS_Futbol;488758;182
marieclaire_es;485717;508
_FALOON_;485016;133
SergioMarone;474925;481
desdelamoncloa;474039;41
cuore;469531;1559
Iberia;462697;17072
la_informacion;447833;496
FCBbasket;447289;103
Goyojimenez;442601;722
harpersbazaarES;423798;971
RealSociedad;422789;94
ElHuffPost;408481;1059
SICNoticias;406971;54
DaniRep;405129;277
rtppt;384948;10368
elperiodico;381376;19033
UnAlumnoDice;379548;64
Josemicod5;368470;245
JornalNoticias;365038;13054
Planetadelibros;362088;2125
losmanolostv;352460;1638
Vertele;324934;1112
MonicaCarrillo;320145;505
MkDirecto;315813;105
CincoDiascom;307409;360
AleixEspargaro;295632;902
LosArys;289776;241
cmjornal;286263;1225
HDluh;284392;109
elpais_espana;276071;596
fcbarcelona_id;272671;49
vanesa_romero;272410;352
Dios_Padre;270899;779
rne;270595;136
lavozdegalicia;269487;175
ignasicomellas;267493;211275
sexlecciones;266733;92098
abelazcona;265205;1072
DANIELdoiser;259803;223133
expresso;258692;600
324cat;257448;165
MADRID;241101;97
Real_Madrid__CF;239782;7253
Vannieuwkerke;238581;1707
barcelona_cat;236741;10024
hacerfotos;235301;231285
BTshell;227287;753
rccelta_oficial;226895;46
_salomo;220885;220184
Fundeu;219964;2482
elprogramadear;219747;352
CooLifeGame;214784;628
josefajram;213560;10443
RafaMartinTV;212484;4361
XtebanGuillen;211019;198695
JotDownSpain;210132;312
ghumanitaria;208720;1310
oceloteWorld;206996;216
metro_madrid;206775;368
TSFRadio;202405;39